Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-003315,Clinica Family Health - Thornton,8990 Washington St,Thornton,CO,80229-4537,720-929-1655,WWW.CLINICA.ORG,49,7,All Other Clinic Types,1,Active,61868,1093702177,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/8/2001,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-104.9777869,39.86015236,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-014943,Summit Middle School,158 School Rd,Frisco,CO,80443,970-368-4040,www.summitclinic.org,40,2,School,1,Active,61958,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/1/2015,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-106.0895644,39.58271619,N,N,8117,Summit County,Summit,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-014123,Health Center at Strasburg,55981 E Colfax Ave,Strasburg,CO,80136-8014,303-622-9237,www.peakvista.org,59,7,All Other Clinic Types,1,Active,61883,1851710065,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,0,Unknown,4/30/2014,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.3319462,39.73833205,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-017356,"Valley-Wide Health Systems, Inc. - 204 Carson Building",204 Carson Ave,Alamosa,CO,81101-2342,719-589-3658,,40,7,All Other Clinic Types,1,Active,61024,1538772892,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,12/21/2015,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.8817649,37.47117698,N,N,8003,Alamosa County,Alamosa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00623,81740,BPS-H80-003505,UNCOMPAHGRE COMBINED CLINICS,1350 Aspen St,Norwood,CO,81423,970-327-4233,umclinic.org,51.5,7,All Other Clinic Types,1,Active,61806,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/10/1978,UNCOMPAHGRE COMBINED CLINICS,1350 S Aspen St,Norwood,CO,81423,"Corporate Entity, Federal Tax Exempt",-108.297685,38.12936095,N,N,8113,San Miguel County,San Miguel,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-032556,Adult Dental and OMFS Clinic,660 Bannock St,Denver,CO,80204-4506,303-436-4949,www.denverhealth.org,50,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/3/2021,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9902618,39.72683291,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28356,08E01132,BPS-H80-030227,Marillac Clinic - Warrior Wellness Center,550 Warrior Way STE Wc,Grand Junction,CO,81504-6401,970-200-1603,,40,2,School,1,Active,,9000196058,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/21/2020,"MARILLAC CLINIC, INC.",2333 N 6th St,Grand Junction,CO,81501-2001,"Corporate Entity, Federal Tax Exempt",-108.472658,39.0865175,N,N,8077,Mesa County,Mesa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00804,80140,BPS-H80-030681,Sunrise Thompson Health Clinic,2880 Monroe Ave,Loveland,CO,80538-3274,970-613-6800,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/27/2020,SUNRISE COMMUNITY HEALTH,2930 11th Ave,Evans,CO,80620-1011,"Corporate Entity, Federal Tax Exempt",-105.0680108,40.42161638,N,N,8069,Larimer County,Larimer,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-027295,Health Center at Jet Wing,1815 Jet Wing Dr,Colorado Springs,CO,80916-2300,719-632-5700,www.peakvista.org,55,7,All Other Clinic Types,1,Active,61988,1437622206,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/10/2019,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7415535,38.80823156,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-004078,Martin Luther King Junior Early College Campus,19535 E 46th Ave,Denver,CO,80249-6637,720-424-0476,www.denverhealth.org,40,2,School,1,Active,,1811196959,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1993,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.7602127,39.78006638,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-030058,Salud Trinidad Dental Clinic,928 Smith Ave,Trinidad,CO,81082-2841,303-697-2583,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/3/2019,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-104.5217693,37.16718086,N,N,8071,Las Animas County,Las Animas,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-036981,Valley-Wide Administrative Services- La Junta North,901 W 3rd St,La Junta,CO,81050-1314,719-383-5493,,42.5,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,7/25/2023,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.5539425,37.98592508,N,N,8089,Otero County,Otero,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-030119,Salud Fort Morgan High School,709 E Riverview Ave # 300,Fort Morgan,CO,80701-3263,303-697-2583,www.saludclinic.org,40,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/17/2019,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-103.7933038,40.26123548,N,N,8087,Morgan County,Morgan,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-017939,Clinica Family Health - Lafayette,1735 S Public Rd,Lafayette,CO,80026-7093,303-650-4460,clinica.org,49,7,All Other Clinic Types,1,Active,61803,1831186915,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/1/2016,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.0905304,39.98293865,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-004208,La Casa Quigg Newton Family Health Center,4545 Navajo St,Denver,CO,80211-2440,303-602-6700,www.denverhealth.org,40,7,All Other Clinic Types,1,Active,61828,1467877126,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1972,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-105.0042052,39.77889949,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-012601,Peak Vista Pharmacy at Academy,3207 N Academy Blvd STE 1200,Colorado Springs,CO,80917-5101,719-344-6398,www.peakvista.org,40,7,All Other Clinic Types,1,Active,,1912240540,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,5/20/2013,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7569725,38.878488,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-007555,STRIDE CHC  -  Peoria,3292 N Peoria St,Aurora,CO,80010-1517,303-343-6130,www.stridechc.org,61,7,All Other Clinic Types,1,Active,61969,1205098340,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,6/5/2008,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-104.8464997,39.76469527,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,806,6,Colorado District 06,CO-06,Jason Crow,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-031480,Mobile Health Center 2,777 Bannock St,Denver,CO,80204-4507,303-602-6783,denverhealth.org,43,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/16/2020,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9902931,39.72800529,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-019065,Wellington E. Webb Center for Primary Care,301 W 6th Ave,Denver,CO,80204-5182,303-436-4949,,44,7,All Other Clinic Types,1,Active,161821,1922049014,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/27/2016,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9916745,39.72568417,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00804,80140,BPS-H80-004327,KIDS CARE CLINIC,1400 37th St,Evans,CO,80620-1906,970-348-1138,sunrisecommunityhealth.org,40,2,School,1,Active,,1811295264,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/2007,SUNRISE COMMUNITY HEALTH,2930 11th Ave,Evans,CO,80620-1011,"Corporate Entity, Federal Tax Exempt",-104.7028386,40.37744898,N,N,8123,Weld County,Weld,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00804,80140,BPS-H80-035158,Sunrise Windsor Clinic,"1039 Main St, Unit G",Windsor,CO,80550-4847,970-353-9403,,47.5,7,All Other Clinic Types,1,Active,1285372334,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/28/2022,SUNRISE COMMUNITY HEALTH,2930 11th Ave,Evans,CO,80620-1011,"Corporate Entity, Federal Tax Exempt",-104.9154679,40.47973003,N,N,8123,Weld County,Weld,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-014851,Salud Brighton's Women Center,30 S 20th Ave,Brighton,CO,80601-3705,303-697-2583,www.saludclinic.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/26/2015,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-104.7977627,39.98618019,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC) Look-Alike,LALCS54746,08E01510,BPS-LAL-039879,"Uptown Community Health Center, Inc. Caritas Internal Medicine","1960 N Ogden St, Suite 400",Denver,CO,80218-3670,303-318-1540,www.uptowncommunityhealth.org,50,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/1/2025,UPTOWN COMMUNITY HEALTH CENTER INC,1960 N OGDEN ST STE 300,DENVER,CO,80218,NA,-104.9747141,39.74685024,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-022346,Park County RE-2 SBHC,640 Hathaway St,Fairplay,CO,80440-5204,970-423-8831,,32,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/3/2018,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-105.9986014,39.22375251,N,N,8093,Park County,Park,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-034974,STRIDE CHC - Horizon Community Middle School,3981 S Reservoir Rd,Aurora,CO,80013-3804,303-360-6276,https://stridechc.org,30,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/1/2022,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-104.7705901,39.6441454,N,N,8005,Arapahoe County,Arapahoe,County            ,8,Region 8,8,Colorado,806,6,Colorado District 06,CO-06,Jason Crow,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-004830,Forest Manor Apartments,1410 Moline St APT 108,Aurora,CO,80010-3625,303-363-8391,www.coloradocoalition.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1989,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-104.8538685,39.73859067,N,N,8005,Arapahoe County,Arapahoe,County            ,8,Region 8,8,Colorado,806,6,Colorado District 06,CO-06,Jason Crow,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-004833,South High School,1700 E Louisiana Ave,Denver,CO,80210-1810,720-423-6260,www.denverhealth.org,40,2,School,1,Active,,1184794893,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/3/2007,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9664998,39.69292887,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-027748,Frisco Elementary,800 S 8th Ave,Frisco,CO,80443,970-668-4040,,8,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/15/2019,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-106.0902392,39.57060107,N,N,8117,Summit County,Summit,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-012411,Manual Campus,1700 E 28th Ave,Denver,CO,80205-4502,720-423-6435,,40,2,School,1,Active,,1366760498,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,2,Seasonal,3/6/2013,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9684111,39.75698149,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-032554,Adult Urgent Care Clinic,660 Bannock St,Denver,CO,80204-4506,303-436-4949,,84,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/3/2021,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9902618,39.72683291,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-038159,Valley-Wide MERV Mobile Unit,925 2nd Ave,Monte Vista,CO,81144-1432,719-589-5161,www.valley-widehealth.org,20,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/23/2024,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-106.145897,37.57923979,N,N,8105,Rio Grande County,Rio Grande,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00692,80170,BPS-H80-021004,Pueblo Community College Student Health Clinic,900 W Orman Ave BLDG Room # 118,Pueblo,CO,81004-1430,719-549-3315,,40,2,School,1,Active,61984,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/16/2017,PUEBLO COMMUNITY HEALTH CENTER,310 Colorado Ave,Pueblo,CO,81004-2006,"Corporate Entity, Federal Tax Exempt",-104.6373779,38.262405,N,N,8101,Pueblo County,Pueblo,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-031533,Center Dental Clinic,135 E 6th St,Center,CO,81125,719-754-3584,,40,7,All Other Clinic Types,1,Active,,1649267741,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/30/2020,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-106.1118051,37.75040235,N,N,8109,Saguache County,Saguache,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-034369,Downtown Health Center,111 E Las Vegas St,Colorado Springs,CO,80903-4215,719-632-5700,www.peakvista.org,47.5,7,All Other Clinic Types,1,Active,61032,1972245959,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/17/2022,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.823761,38.81837781,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-039440,Clinica Family Health & Wellness -- Broomfield Clinic,897 US Highway 287,Broomfield,CO,80020-7000,303-650-4460,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/1/2024,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.0908851,39.92774466,N,N,8014,Broomfield County,Broomfield,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
