FACILITY NAME,ID NUMBER,TELEPHONE,ADDRESS,UNIT,CITY,COUNTY,ZIP,LICENSE TYPE,CAPACITY,,Mammography,,,Home Health Agency,,,Hospice,,,Ambulatory Surgical Facility,,,Hospital,,,Assisted Living Facility - Type I,,,Assisted Living Facility - Type II,,,End Stage Renal Disease Facility,,,Birthing Center,,,Abortion Clinic,,,Nursing Care Facility,,,Small Health Care Facility,,,Small Health Care Facility - Type N,,Personal Care Agency,
Enhabit Home Health,F23-107282,8017475500,990 West Bellwood Lane,,Murray,Salt Lake,84123,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhabit Home Health of Southern Utah,F23-107343,4356349300,515 South 300 East,Suite 105,Saint George,Washington,84770,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhabit Hospice,F23-107202,8017475500,990 West Bellwood Lane,,Murray,Salt Lake,84123,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhabit Hospice of Southern Utah,F23-107167,4356349300,515 South 300 East,Suite 109,Saint George,Washington,84770,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensight Home Care,F23-107060,3854567456,3197 West 650 North,,West Point,Davis,84015,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Envision Healthcare at Home,F23-107259,8012257971,1345 West 1600 North,Suite 202,Orem,Utah,84057,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Envision Hospice,F23-107252,8012257971,990 West Atherton Drive,Suite 100,Taylorsville,Salt Lake,84123,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential Care,F23-106866,8017199555,145 South Village Way,,Fruit Heights,Davis,84037,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eyesurg of Utah, LLC",F23-107273,8015680200,11820 South State Street,Suite 150,Draper,Salt Lake,84020,Ambulatory Surgical Facility,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Village Rehabilitation,F23-106453,8018070113,1203 North Fairfield Road,,Layton,Davis,84041,Nursing Care Facility,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Surgical Suite,F23-107337,8018330515,8822 South Redwood Road,Suite C113,West Jordan,Salt Lake,84088,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fillmore Community Hospital,F23-106830,4357435591,674 South Highway 99,,Fillmore,Millard,84631,Hospital,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Choice Home Health,F23-107256,8014344100,5280 S Commerce Dr,Ste A186,Murray,Salt Lake,84107,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Choice Home Health Care Agency LLC,F23-108164,8007845955,1218 West South Jordan Parkway,Suite A Second Floor,South Jordan,Salt Lake,84095,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Choice Hospice,F23-107173,8014344100,560 West 800 North,#204,Orem,Utah,84057,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firstlight Home Care South Valley,F23-106948,8017846431,12268 South 900 East,Suite 306,Draper,Salt Lake,84020,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Corners Regional Care Center,F23-106568,4356382251,818 North 400 West,,Blanding,San Juan,84511,Nursing Care Facility,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield County Nursing Home,F23-107015,4356761262,200 North 450 East,,Panguitch,Garfield,84759,Nursing Care Facility,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield Memorial Hospital,F23-106831,4356761262,200 North 400 East,,Panguitch,Garfield,84759,Hospital,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George E Wahlen Ogden Veterans Home,F23-106697,8013344300,1102 North 1200 West,,Ogden,Weber,84404,Nursing Care Facility,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giving Home Health Care, LLC",F23-106473,7024744000,135 North 900 East,Suite RM,Saint George,Washington,84770,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Microsurgical Center of Park City, LLC",F23-107308,4356493317,1820 Sidewinder Drive,Suite 200,Park City,Summit,84060,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Dove Care LLC,F23-106733,3854877373,5286 South Commerce Drive,Suite A-136 #2,Murray,Salt Lake,84107,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Fences Inc,F23-106566,8436943983,4170 South Park Green Drive,Apt# 9C,West Valley City,Salt Lake,84120,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Years Care At Home LLC,F23-106567,4357640729,7508 South Travertine Road,,West Jordan,Salt Lake,84081,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Senior Care,F23-106632,7023528838,3187 Three Bars Road,,Saint George,Washington,84790,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Shepherd Home Care,F23-107317,4357890499,1680 West Highway 40,Suite 104,Vernal,Uintah,84078,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Shepherd Hospice - Vernal,F23-107176,4357890499,1680 West Hwy 40,Suite 104,Vernal,Uintah,84078,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand County Hospice,F23-107195,4357193772,450 West Williams Way,,Moab,Grand,84532,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Granite Peaks Endoscopy, LLC",F23-107251,8016191115,10150 South Petunia Way,,Sandy,Salt Lake,84092,Ambulatory Surgical Facility,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison Valley Hospice,F23-107196,4355283955,45 East 100 North,,Gunnison,Sanpete,84634,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison Valley Hospital,F23-106922,4355282114,64 East 100 North,,Gunnison,Sanpete,84634,Hospital,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison Valley Hospital Home Health,F23-107311,4355283955,45 East 100 North,,Gunnison,Sanpete,84634,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harmony Home Health Services, LLC",F23-107283,8012810537,5650 South Green Street,,Murray,Salt Lake,84123,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmony Hospice,F23-107275,8012810537,5650 Green Street,,Murray,Salt Lake,84123,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Pointe Healthcare and Rehabilitation,F23-106975,8013995609,3430 Harrison Boulevard,,Ogden,Weber,84403,Nursing Care Facility,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven Home Health Care,F23-106560,5059340415,409 South Main Street,,Blanding,San Juan,84511,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Watch Hospice of Utah Inc,F23-107207,8016027830,1485 East 840 North,,Orem,Utah,84097,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health Watch Provo, Inc.",F23-107201,8012250599,1485 East 840 North,,Orem,Utah,84097,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helperly Corporation,F24-110576,8019150475,9547 South 700 East,Unit 201,Sandy,Salt Lake,84070,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Park Healthcare And Rehabilitation,F23-107062,8018259731,2700 West 5600 South,,Roy,Weber,84067,Nursing Care Facility,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Desert Home Health LLC,F23-108168,8015207326,10720 South Whirlaway Lane,,Sandy,Salt Lake,84092,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Care Center,F23-106969,8012782839,4285 South Highland Drive,,Holladay,Salt Lake,84124,Nursing Care Facility,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Cove Plus,F23-106822,8012728226,3750 South Highland Drive,,Salt Lake City,Salt Lake,84106,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holladay Healthcare Center,F23-106572,8012777002,4782 South Holladay Boulevard,,Salt Lake City,Salt Lake,84117,Nursing Care Facility,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holladay Homecare,F23-106803,8015039166,1573 East Meadowmoor Road,,Holladay,Salt Lake,84117,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross Hospital - Jordan Valley West,F23-106535,8019643925,3460 South 4155 West,,West Valley City,Salt Lake,84120,Hospital,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross Hospital - Mountain Point,F23-106465,3853453000,3000 North Triumph Boulevard,,Lehi,Utah,84043,Hospital,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross Hospital - Salt Lake,F23-107079,8013504111,1050 East South Temple,,Salt Lake City,Salt Lake,84102,Hospital,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross Hospital-Davis,F23-106676,8018077000,1600 West Antelope Drive,,Layton,Davis,84041,Hospital,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross Hospital-Jordan Valley,F23-106917,8015618888,3580 West 9000 South,,West Jordan,Salt Lake,84088,Hospital,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Help Care Services,F23-107244,4357254357,540 West Highway 40,,Roosevelt,Duchesne,84066,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Help Care Services LLC,F23-106892,4357254357,540 West Highway 40,,Roosevelt,Duchesne,84066,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Helpers Home Care Of Northern Utah,F23-106864,8019901755,2880 South Main Street,Suite 219,South Salt Lake,Salt Lake,84115,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Helpers Of St George,F23-106484,4354291407,1240 East 100 South,# 8B,Saint George,Washington,84790,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Instead #798,F23-106943,8018994183,3507 North University Avenue,#300,Provo,Utah,84604,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Instead Senior Care,F23-106984,8012669444,5005 South 900 East,Suite 120,Salt Lake City,Salt Lake,84117,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Instead Senior Care # 745,F23-107017,8015420405,8822 South Redwood Road,Suite S-102,West Jordan,Salt Lake,84088,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Instead Senior Care #566,F23-106532,4356887406,321 North Mall Drive,Suite Q 101,Saint George,Washington,84790,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Nursing for Utah,F23-107241,8014741212,152 West Burton Avenue,Suite F,Salt Lake City,Salt Lake,84115,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Option Personal Care,F23-106888,8012749100,12244 S Business Park Drive,Suite 215,Draper,Salt Lake,84020,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hometown Personal Care Services, LLC",F23-106561,8012349722,50 South 1500 West,,Manti,Sanpete,84642,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homewatch Caregivers Of Utah,F23-107006,8017461080,152 West Burton Avenue,Suite H,South Salt Lake,Salt Lake,84115,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homewell Care Services,F23-106873,8015722030,5411 South Vine Street,Unit 2B,Murray,Salt Lake,84107,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Home Health,F23-107336,8012261919,11 East 200 North,,Orem,Utah,84057,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Home Health- Salt Lake,F23-107281,8014740000,6000 South Fashion Boulevard,Suite 200,Murray,Salt Lake,84107,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Home Health-SG,F23-107149,4358657481,2069 North Main Street,Suite 106,Cedar City,Iron,84721,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Hospice Specialists,F23-107248,8012938700,6000 South Fashion Boulevard,Suite 200,Murray,Salt Lake,84107,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Hospice Specialists - SG,F23-107258,4356744744,168 North 100 East,Suite 260,Saint George,Washington,84770,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospice for Utah, LLC",F23-107334,8015761455,152 West Burton Avenue,Suite F,South Salt Lake,Salt Lake,84115,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurricane Health and Rehabilitation,F23-106815,4356359833,416 North State Street,,Hurricane,Washington,84737,Nursing Care Facility,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In-Home Care Assistance,F23-106699,8015109670,928 North 2075 West,,Farr West,Weber,84404,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence Home Health,F23-107296,8016989874,800 East 2600 North,,North Ogden,Weber,84414,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence Hospice,F23-107253,8012981100,800 East 2600 North,,North Ogden,Weber,84414,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inspiration Home Health, LLC",F23-107197,8012811314,1649 East 1400 South,Suite 140,Clearfield,Davis,84015,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inspiration Hospice, LLC",F23-107319,8012811314,1649 East 1400 South,Suite 140,Clearfield,Davis,84015,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Senior Care Home Health,F23-107300,4356288944,616 South River Road,Suite 200,Saint George,Washington,84790,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Senior Care Hospice,F23-107210,4356288944,616 South River Road,Suite 200,Saint George,Washington,84790,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Senior Care Personal Care,F23-106604,4356288944,616 South River Road,Suite 200,Saint George,Washington,84790,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Healthcare SLC,F23-106622,8014013515,2020 South 1300 East,Suite C,Salt Lake City,Salt Lake,84105,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Avenues Surgical Center,F23-107245,8014083200,359 8Th Avenue,,Salt Lake City,Salt Lake,84103,Ambulatory Surgical Facility,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Health Alta View Hospital,F23-107081,8015012700,9660 South 1300 East,,Sandy,Salt Lake,84094,Hospital,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Health Heber Valley Hospital,F23-106769,4356542500,454 East Medical Way,,Heber City,Wasatch,84032,Hospital,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Health Layton Hospital,F23-106953,8015436000,201 West Layton Parkway,,Layton,Davis,84041,Hospital,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Health McKay-Dee Hospital,F23-106827,8013872800,4401 Harrison Boulevard,,Ogden,Weber,84403,Hospital,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Health Park City Hospital,F23-106529,4356586700,900 Round Valley Drive,,Park City,Summit,84060,Hospital,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Health Primary Children's Hospital - Lehi,F23-109198,8016626225,2250 North Miller Campus Drive,,Lehi,Utah,84043,Hospital,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Health Riverton Hospital,F23-106765,8012854000,3741 West 12600 South,,Riverton,Salt Lake,84065,Hospital,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Home Health Logan,F23-107137,4357165477,550 East 1400 North,Suite G,Logan,Cache,84341,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Home Health Mt. Pleasant,F23-107328,4354623431,130 West Main Street,,Mount Pleasant,Sanpete,84647,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Home Health Salt Lake,F23-107305,3858876000,11520 South Redwood Road,,South Jordan,Salt Lake,84095,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Home Health-St George,F23-107200,3858876000,555 South Bluff Street,Suite 100,Saint George,Washington,84770,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Hospice Salt Lake,F23-107274,3858876000,11520 South Redwood Road,,South Jordan,Salt Lake,84095,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Hospice of Logan,F23-107194,4357165477,550 East 1400 North,Suite G,Logan,Cache,84341,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Hospice-St George,F23-107333,4352512367,555 South Bluff Street,Suite 100,Saint George,Washington,84770,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Homecare Ogden,F23-107240,3858876000,3776 Wall Avenue,,Ogden,Weber,84405,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Medical Center,F23-106909,8015077920,5121 South Cottonwood Street,,Murray,Salt Lake,84107,Hospital,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Surgery Center - Logan,F23-107186,4357162060,1350 North 500 East,,Logan,Cache,84341,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Surgery Center - St. George,F23-107162,4352513910,652 South Medical Center Drive,Suite 200,Saint George,Washington,84790,Ambulatory Surgical Facility,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron County Home Health Agency,F23-107304,4355863939,965 South Main Street,Suite 4,Cedar City,Iron,84720,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane County Hospital,F23-106986,4356445811,355 North Main Street,,Kanab,Kane,84741,Hospital,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kind Hearts Senior Care, LLC",F23-107022,4352751656,120 East St George Boulevard,Suite 312,Saint George,Washington,84770,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kpc Promise Hospital Of Salt Lake,F23-106912,3854250050,4252 South Birkhill Boulevard,,Murray,Salt Lake,84107,Hospital,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDS Hospital,F23-106755,8014081100,8Th Avenue and C Street,,Salt Lake City,Salt Lake,84143,Hospital,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeview Endoscopy Center,F23-107221,8012996760,620 East Medical Drive,Suite 200,Bountiful,Davis,84010,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeview Hospital,F23-106758,8012992200,630 East Medical Drive,,Bountiful,Davis,84010,Hospital,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legacy Home Health, LLC",F23-106628,8018050199,551 East State Street,,American Fork,Utah,84003,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village Rehabilitation,F23-106451,8016134600,3251 West 5400 South,,Taylorsville,Salt Lake,84129,Nursing Care Facility,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehi Surgical Center,F23-107243,8016959484,310 North 850 East,Suite B,Lehi,Utah,84043,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like Family Personal Care,F23-106871,4354148551,158 North 240 East,,Hurricane,Washington,84737,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Cottonwood Rehabilitation And Nursing,F23-106496,8014859007,3094 South State Street,,South Salt Lake,Salt Lake,84115,Nursing Care Facility,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Regional Hospital,F23-106511,4357161000,1400 North 500 East,,Logan,Cache,84341,Hospital,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Regional Hospital Transitional Care Unit,F23-106500,4357165450,1400 North 500 East,,Logan,Cache,84341,Nursing Care Facility,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lomond Peak Nursing and Rehabilitation, LLC",F23-106900,8017823740,524 East 800 North,,Ogden,Weber,84404,Nursing Care Facility,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Peak Hospital,F23-106458,8015458000,11925 South State Street,,Draper,Salt Lake,84020,Hospital,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Peak Surgery Center,F23-107219,8012339300,96 East Kimballs Lane,Suite 100,Draper,Salt Lake,84020,Ambulatory Surgical Facility,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loving Hands Home Health,F23-107316,8012261111,560 South State Street,Suite G7,Orem,Utah,84058,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSM Brigham City LLC,F23-106624,4353105800,1010 South Medical Drive,,Brigham City,Box Elder,84302,Nursing Care Facility,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Creek Home Health,F23-107293,8017985333,290 West Center Street,,Spanish Fork,Utah,84660,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Creek Hospice,F23-107295,8017985333,290 West Center Street,,Spanish Fork,Utah,84660,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Ridge Rehabilitation And Nursing,F23-106656,8013556891,455 South 900 East,,Salt Lake City,Salt Lake,84102,Nursing Care Facility,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Springs Senior Living,F23-106865,4357539400,350 East 2200 North,,North Logan,Cache,84341,Nursing Care Facility,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marian Center,F23-106756,8014686856,451 East Bishop Federal Lane,,Salt Lake City,Salt Lake,84115,Hospital,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maxim Healthcare Services, Inc.",F23-107344,8016857070,4424 South 700 East,Suite 240,Salt Lake City,Salt Lake,84107,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McKay Dee Surgical Center, LLC",F23-107331,8013873600,3895 Harrison Boulevard,Suite 200,Ogden,Weber,84403,Ambulatory Surgical Facility,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadow Brook Rehabilitation And Nursing,F23-106972,8014872248,433 East 2700 South,,Salt Lake City,Salt Lake,84115,Nursing Care Facility,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadow Peak Rehabilitation,F23-106556,3852551105,6084 South Summit Vista Boulevard,,Taylorsville,Salt Lake,84129,Nursing Care Facility,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mervyn Sharp Bennion Central Utah Veterans Home,F23-106707,8014655400,1551 North Main Street,,Payson,Utah,84651,Nursing Care Facility,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midtown Manor,F23-106970,8013636340,125 South 900 West,,Salt Lake City,Salt Lake,84104,Nursing Care Facility,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford Memorial Hospital,F23-107001,4353872411,850 North Main Street,,Milford,Beaver,84751,Hospital,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millard County Care And Rehabilitation,F23-106576,4358642944,150 South White Sage Avenue,,Delta,Millard,84624,Nursing Care Facility,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millcreek Rehabilitation and Nursing LLC,F23-106971,8014847638,3520 South Highland Drive,,Salt Lake City,Salt Lake,84106,Nursing Care Facility,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission At Alpine Rehabilitation Center,F23-106766,8017853568,25 East Alpine Drive,,Pleasant Grove,Utah,84062,Nursing Care Facility,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission At Community Living Rehabilitation Center,F23-106810,4355282800,10 West 400 South,,Centerfield,Sanpete,84622,Nursing Care Facility,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
